               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.063373,             0.16059,            0.032704,             0.57061,               0.237,             0.22413,             0.11482,            0.068674,             0.12455,            0.043967,            0.006436,            0.006436,            0.006436
                  38,            0.062954,             0.15601,            0.033112,              0.5119,             0.24206,             0.22961,             0.11784,            0.067767,             0.12323,            0.043194,            0.006337,            0.006337,            0.006337
                  39,            0.063104,             0.15866,            0.032574,             0.50755,              0.2542,             0.23362,             0.12074,            0.066917,             0.12317,            0.043205,            0.006238,            0.006238,            0.006238
                  40,            0.063133,             0.15849,            0.032273,             0.52547,             0.22821,             0.22417,             0.11721,            0.066973,             0.12282,            0.043866,            0.006139,            0.006139,            0.006139
                  41,             0.06294,             0.15864,            0.032472,             0.44896,             0.25105,             0.23321,             0.11866,            0.067293,             0.12373,            0.043224,             0.00604,             0.00604,             0.00604
                  42,            0.061937,              0.1572,            0.031824,             0.45012,             0.25266,             0.23504,             0.11956,            0.066733,             0.12342,            0.042212,            0.005941,            0.005941,            0.005941
                  43,            0.062476,             0.15756,            0.031609,             0.45225,             0.24641,             0.23192,             0.11982,            0.067506,              0.1245,            0.043665,            0.005842,            0.005842,            0.005842
                  44,            0.062137,             0.15873,            0.030571,             0.44737,              0.2451,             0.22512,             0.11538,            0.066939,             0.12454,            0.043629,            0.005743,            0.005743,            0.005743
                  45,            0.062067,              0.1575,            0.031235,             0.50955,             0.25411,             0.23423,             0.11793,            0.067107,             0.12408,            0.043467,            0.005644,            0.005644,            0.005644
                  46,            0.061755,              0.1554,            0.030635,             0.45188,              0.2524,             0.23276,             0.11826,            0.067034,             0.12585,            0.042308,            0.005545,            0.005545,            0.005545
                  47,            0.061897,             0.15697,            0.030863,             0.53181,             0.24761,             0.23794,             0.12518,            0.066602,             0.12399,            0.042763,            0.005446,            0.005446,            0.005446
